ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Large,Classify_Red,Classify_Small,Classify_Tiny,Classify_White,Intensity_IntegratedIntensityEdge_SubtractedRed,Intensity_IntegratedIntensity_SubtractedRed,Intensity_LowerQuartileIntensity_SubtractedRed,Intensity_MADIntensity_SubtractedRed,Intensity_MassDisplacement_SubtractedRed,Intensity_MaxIntensityEdge_SubtractedRed,Intensity_MaxIntensity_SubtractedRed,Intensity_MeanIntensityEdge_SubtractedRed,Intensity_MeanIntensity_SubtractedRed,Intensity_MedianIntensity_SubtractedRed,Intensity_MinIntensityEdge_SubtractedRed,Intensity_MinIntensity_SubtractedRed,Intensity_StdIntensityEdge_SubtractedRed,Intensity_StdIntensity_SubtractedRed,Intensity_UpperQuartileIntensity_SubtractedRed,Location_CenterMassIntensity_X_SubtractedRed,Location_CenterMassIntensity_Y_SubtractedRed,Location_CenterMassIntensity_Z_SubtractedRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_SubtractedRed,Location_MaxIntensity_Y_SubtractedRed,Location_MaxIntensity_Z_SubtractedRed,Number_Object_Number
1,1,7,9,534,124,531,121,531.7142857142857,122.0,0.5300702784881366,7,0.377964473009227,2.985410660720923,1,0.7777777777777778,1.8865422955842652,3.0237157840738176,2.23606797749979,1.4142135623730951,1.0591733660532994,1.0,2.0,2.799416848895061,0.0,6.82842712474619,1.0,0,1,1,0,0,4.844032287597656,5.552235305309296,0.7613453567028046,0.04696914553642273,0.020579755244603266,0.8647022247314453,0.8647022247314453,0.8073387145996094,0.7931764721870422,0.8054488301277161,0.7556201815605164,0.7082030177116394,0.04050180274305965,0.051082956032353515,0.8533444106578827,531.7230945789329,121.981400800298,0.0,531.7142857142857,122.0,0,533.0,122.0,0.0,1
1,2,20,25,507,127,502,122,504.05,124.1,0.7420983898833913,21,0.3929526239966882,5.046265044040321,1,0.8,1.347530211131618,5.215361924162119,4.47213595499958,2.23606797749979,1.2946461113496084,1.0,4.0,4.795831523312719,-63.434948822922046,13.65685424949238,0.9523809523809523,0,1,1,0,0,10.163260459899902,15.735145211219788,0.7277252674102783,0.07071536779403687,0.004725129454595054,0.9273608922958374,0.9273608922958374,0.8469383716583252,0.7867572605609894,0.8138865828514099,0.7614408731460571,0.6053164005279541,0.04953248518470672,0.08872083180694225,0.86625736951828,504.0498396977514,124.10472240950699,0.0,504.05,124.1,0,505.0,126.0,0.0,2
1,3,21,25,554,126,549,121,550.8095238095239,123.14285714285714,0.7686911435047676,22,0.34400025467068873,5.170882945826411,1,0.84,1.3009126076835016,5.316632771645401,5.0,2.23606797749979,1.3085099364104322,1.0,4.0,4.992156306471802,-20.300647322502247,14.242640687119286,0.9545454545454546,0,1,1,0,0,11.083091497421265,17.144461393356323,0.7845241874456406,0.048527032136917114,0.0545566843058266,0.963188648223877,0.963188648223877,0.8525454998016357,0.8164029234931582,0.8185445070266724,0.7583903074264526,0.6765155792236328,0.059419346270703444,0.07555728659485411,0.885186642408371,550.8055547482089,123.19726925873884,0.0,550.8095238095239,123.14285714285714,0,549.0,125.0,0.0,3
1,4,53,64,583,130,575,122,578.4528301886793,125.20754716981132,0.9001698538649316,56,0.3776304896638072,8.214724333230155,1,0.828125,1.1109014545493185,8.531702974858208,8.06225774829855,4.0,1.762967932104216,1.4142135623730951,7.0,7.899984781626788,76.09876495493184,24.485281374238568,0.9464285714285714,0,1,1,0,0,18.74633276462555,42.31114041805267,0.754286140203476,0.04297676682472229,0.019472545673635086,0.9280920624732971,0.9280920624732971,0.8521060347557068,0.7983234041142013,0.7910766899585724,0.7768369913101196,0.7053639888763428,0.03996667581090692,0.058393014476398664,0.8475904166698456,578.4449625995654,125.22535955529298,0.0,578.4528301886793,125.20754716981132,0,575.0,123.0,0.0,4
1,5,19,25,618,129,613,124,615.3684210526316,126.21052631578948,0.7811561998772539,20,0.3942680667296094,4.918490759365935,1,0.76,1.2801537005750372,5.127073205848133,4.47213595499958,2.23606797749979,1.2883530876115303,1.0,4.0,4.711757099842153,6.2644038545757486,13.65685424949238,0.95,0,1,1,0,0,10.066985845565796,15.083678901195526,0.7443117201328278,0.035721004009246826,0.020511431545512722,0.8783482909202576,0.8783482909202576,0.838915487130483,0.7938778369050277,0.8288016319274902,0.7960818409919739,0.6479349136352539,0.021037625001629406,0.06571875007865453,0.8398815989494324,615.3781166727591,126.22860154122067,0.0,615.3684210526316,126.21052631578948,0,617.0,128.0,0.0,5
1,6,9,9,495,130,492,127,493.0,128.0,0.5658842421045168,9,0.0,3.385137501286538,1,1.0,1.7671458676442586,3.265986323710904,2.8284271247461903,2.0,1.1111111111111112,1.0,2.0,3.265986323710904,45.0,8.0,1.0,0,1,1,0,0,6.616560339927673,7.36842942237854,0.8071692436933517,0.023534834384918213,0.012486151455697637,0.8689401149749756,0.8689401149749756,0.8270700424909592,0.8187143802642822,0.8291953802108765,0.785327136516571,0.7518690824508667,0.025140196730468245,0.03347149119094223,0.848876416683197,493.01196240318006,127.99642160813602,0.0,493.0,128.0,0,494.0,127.0,0.0,6
1,7,9,9,590,130,587,127,588.0,128.0,0.5658842421045168,9,0.0,3.385137501286538,1,1.0,1.7671458676442586,3.265986323710904,2.8284271247461903,2.0,1.1111111111111112,1.0,2.0,3.265986323710904,45.0,8.0,1.0,0,1,1,0,0,6.61499947309494,7.318069756031036,0.7998396456241608,0.04891201853752136,0.04137172940738243,0.9285937547683716,0.9285937547683716,0.8268749341368675,0.8131188617812263,0.8141207098960876,0.7297377586364746,0.7030702829360962,0.05484403705807806,0.06471087245560023,0.8638045936822891,588.0405407495552,128.00825031027637,0.0,588.0,128.0,0,589.0,129.0,0.0,7
1,8,4,4,647,129,645,127,645.5,127.5,0.3183098861837907,4,0.0,2.256758334191025,1,1.0,3.141592653589793,2.0,1.4142135623730951,1.0,1.0,1.0,1.0,2.0,45.0,4.0,1.0,0,1,0,1,0,3.296884000301361,3.296884000301361,0.8134450316429138,0.01960521936416626,0.009746528821823098,0.8456926345825195,0.8456926345825195,0.8242210000753403,0.8242210000753403,0.8330502510070801,0.8046960830688477,0.8046960830688477,0.016096044857297983,0.016096044857297983,0.8456926345825195,645.5091907648058,127.49675582578162,0.0,645.5,127.5,0,646.0,127.0,0.0,8
1,9,84,100,558,135,548,125,552.5,129.6904761904762,0.9289233050302929,87,0.27635215799813,10.341765891652821,1,0.84,1.0765151381010827,10.572980899179093,10.295630140987,5.0,2.0990629173161146,2.0,9.0,10.161231404629486,-78.16091215915043,31.31370849898476,0.9655172413793104,1,1,0,0,0,24.361024975776672,68.88924562931061,0.7801766991615295,0.041886329650878906,0.01674210218730812,0.9467036724090576,0.9467036724090576,0.8700366062777383,0.8201100670156025,0.8223762512207031,0.7790590524673462,0.6854168176651001,0.041552801036037694,0.05451096444845349,0.858220100402832,552.5005553952228,129.70720907790775,0.0,552.5,129.6904761904762,0,548.0,132.0,0.0,9
1,10,21,30,666,134,660,129,662.4285714285714,131.0952380952381,0.860714043705195,24,0.404475254109216,5.170882945826411,1,0.7,1.1618260528144841,5.425630528451305,5.0,2.23606797749979,1.3197512686723267,1.0,4.0,4.962004663927371,41.97290405294262,15.071067811865476,0.875,0,1,1,0,0,10.968634128570557,16.346131920814514,0.6973186880350113,0.08829289674758911,0.003795168239250649,0.9125620126724243,0.9125620126724243,0.8437410868131198,0.7783872343245006,0.7929534912109375,0.7606056332588196,0.5961778163909912,0.049548366379937064,0.09603454853693148,0.8674432635307312,662.4247908018195,131.09557000385053,0.0,662.4285714285714,131.0952380952381,0,660.0,131.0,0.0,10
